ADAM CREMONENSIS	<ADAMO DA CREMONA>	De regimine et via itineris et fine peregrinantium
ADAMNANUS HIIENSIS	<ADAMNANO DI IONA>	De locis sanctis
ADORNES [ADURNUS], ANSELMUS	<ADORNO, ANSELMO>	Itinerarium Hierosolymitanum et Sinaiticum
ADORNES [ADURNUS], IOHANNES	<ADORNO, GIOVANNI>	Itinerarium in Asiam et Africam
AETHERIA MONACHA [AEGERIA]	<EGERIA>	Itinerarium (Peregrinatio ad loca santa)
AETHICUS ISTRICUS [AETHICUS PHILOSOPHUS; AETHICUS ISTER]	<ETICO ISTRO>	Cosmographia
ALBERTUS AQUENSIS	<ALBERTO DI AQUISGRANA>	Historia Hierosolymitanae expeditionis (De via et expeditione Ierusalem)
ALBERTUS BOHEMUS	<ALBERT VON BEHAIM>	Descriptio gentium et diversarum nationum Europe
ALBERTUS DE BONSTETTEN	<ALBRECHT VON BONSTETTEN>	Superioris Germaniae confoederationis descriptio
ALBERTUS STADENSIS	<ALBERTO DI STADE>	Annales Stadenses
ALBERTUS, LEO BAPTISTA	<ALBERTI, LEON BATTISTA>	Descriptio urbis Romae
ALTE, GEORGIUS		Descriptio Nuremberge
AMELII DE BRENACO, PETRUS 	<AMELI, PIETRO>	Itinerarium Gregorii XI Avenione Romam
ANDREAS PERUSINUS [DE PERUSIO]	<ANDREA DA PERUGIA>	Epistola <*1326, viaggio in Cina>
ANGLERIA, BOSCHINUS DE	<ANGHIERA, BOSCHINO D’>	De situ et salubritate aeris civitatis Mediolani
ANONYMUS LEIDENSIS	<ANONIMO DI LEIDA>	De situ orbis
ANONYMUS MEDIOLANENSIS	<ANONIMO MILANESE>	Libellus de situ civitatis Mediolani (Datiana historia)
ANONYMUS RAVENNAS [GEOGRAPHUS RAVENNAS]	<ANONIMO RAVENNATE; GEOGRAFO RAVENNATE>	Cosmographia
ANONYMUS SUESSIONENSIS	<ANONIMO DI SOISSONS>	De terra Hierosolimitana
ANSELMUS REMENSIS	<ANSELMO REMENSE; ANSELMO DI REIMS>	Historia dedicationis ecclesiae sancti Remigii apud Remos (Itinerarium papae Leonis IX a. 1049 in Galliam)
ARIOSTUS, ALEXANDER 	<ARIOSTO, ALESSANDRO>	Itinerarium ad Montem Sinai
ARIOSTUS, ALEXANDER 	<ARIOSTO, ALESSANDRO>	Topographia terrae promissionis
BALBUS, HIERONYMUS 	<BALBI, GIROLAMO>	Hodoeporicon elegia Bohuslao de Hasistein
BALCUS		Descriptio Helvetiae (Descriptio elegans agri et regionis Svitensium)
BALDERICUS BURGULIANUS [BURGULIENSIS; ANDEGAVENSIS; DOLENSIS]	<BAUDRI DE BOURGUEIL>	Epistola ad Fiscannenses (Itinerarium) (Relatio de monasterio Fiscannensi)
BARROTIUS, IOHANNES	<BAROZZI, GIOVANNI>	Mons Euganeus
BARTHOLOMAEUS ANGLICUS	<BARTOLOMEO ANGLICO>	Geographia orbis
BASINUS [BAZINUS], THOMAS	<BASIN, THOMAS>	Breviloquium peregrinationis
BAYGUERA [DE BAYGUERIS], BARTHOLOMEUS	<BAYGUERA, BARTOLOMEO>	Itinerarium
BEBELIUS, HENRICUS IUSTINGENSIS	<BEBEL, HEINRICH>	Carmen de urbe Constantia
BEDA VENERABILIS	<BEDA IL VENERABILE>	Liber de locis sanctis
BEDA VENERABILIS	<BEDA IL VENERABILE>	Nomina regionum atque locorum de Actibus apostolorum
BELARDUS DE ESCULO	<BELARDO D’ASCOLI>	Descriptio Terrae Sanctae
BEMBUS, BERNARDUS 	<BEMBO, BERNARDO>	Descriptio sui itineris
BENEDICTUS POLONUS	<BENEDETTO POLACCO; BENEDYKT POLAK>	De itinere fratrum minorum ad Tartaros
BENIAMINUS TUDELENSIS	<BENIAMINO [BEN JONAH] DI TUDELA>	Itinerarium
BERNARDUS MONACHUS [BERNARDUS SAVIUS; BERNARDUS FRANCUS]	<BERNARDO IL MONACO; BERNARDO IL SAGGIO>	Itinerarium in loca sancta
BIANCHELLUS, MENGHUS	<BIANCHELLI, DOMENICO>	De balneis tractatus
BLONDUS, FLAVIUS	<BIONDO, FLAVIO>	De Roma instaurata
BLONDUS, FLAVIUS	<BIONDO, FLAVIO>	Italia illustrata
BOCCACCIUS, IOHANNES	<BOCCACCIO, GIOVANNI>	De Canaria et insulis reliquis ultra Hispaniam noviter repertis
BOCCACCIUS, IOHANNES	<BOCCACCIO, GIOVANNI>	De montibus, lacubus, fluminibus, stagnis et paludibus, et de nominibus maris
BONDELMONTIUS, CHRISTOPHORUS	<BUONDELMONTI, CRISTOFORO>	Descriptio insulae Cretae (Descriptio insulae Candiae)
BONDELMONTIUS, CHRISTOPHORUS	<BUONDELMONTI, CRISTOFORO>	Liber insularum Archipelagi
BONONIUS, HIERONYMUS TARVISINUS	<BOLOGNI, GIROLAMO>	Mediolanum (Itinerarium)
BORNADUS DE BRIXIA, VIRGILIUS 		Itinerarium
BOVERIUS, AMADEUS		Libellus peregrinationis totius Terrae Sanctae
BRACELLUS, IACOBUS	<BRACELLI, GIACOMO>	Descriptio orae Ligusticae
BREYDENBACH, BERNARDUS DE	<BREYDENBACH, BERNHARD VON>	Peregrinatio in Terram Sanctam
BRIGGIUS, THOMAS	<BRYGG, THOMAS>	Itinerarium ad Terram Sanctam domini Thomae de Swynburne
BRUNUS, LEONARDUS [LEONARDUS ARETINUS]	<BRUNI, LEONARDO>	De temporibus suis (Rerum suo tempore gestarum commentarius)
BRUNUS, LEONARDUS [LEONARDUS ARETINUS]	<BRUNI, LEONARDO>	Historiae Florentini populi
BRUNUS, LEONARDUS [LEONARDUS ARETINUS]	<BRUNI, LEONARDO>	Laudatio Florentinae urbis
BRUSSERIUS SAVONENSIS, PHILIPPUS 	<BRUSSERI, FILIPPO>	Descriptio Terrae Sanctae (Liber peregrinationis)
BURCHARDUS ARGENTINENSIS	<BURCHARD VON STRASSBURG; BURCARDO DI STRASBURGO>	Relatio de itinere in Terram Sanctam
BURCHARDUS DE MONTE SION [BURCHARDUS THEUTONICUS]	<BURCARDO DEL MONTE SION>	Descriptio Terrae Sanctae
CAMPANUS, IOHANNES ANTONIUS	<CAMPANO, GIOVANNI ANTONIO>	De Thrasimeni foelicitate ad Pandulphum Balionium (Trasimeni descriptio)
CANISTRIS, OPICINUS DE	<CANISTRIS, OPICINO DE’>	Liber de laudibus civitatis Ticinensis (Libellus de descriptione Papiae)
CAOURSINUS, GUILLELMUS	<CAOURSIN, GUILLAMUME>	Obsidionis Rhodiae urbis descriptio (Descriptio obsidionis Rhodiae)
CASTELLO, BONAVENTURA DE	<CASTELLI, BONAVENTURA>	Recepta aquae balnei de Porrecta
CELTIS, CONRADUS	<CELTIS [CELTES; PICKEL], CONRAD [KONRAD]>	De origine, situ, moribus et institutis Norimbergae libellus
COCI DE WIMPINA, CONRADUS	<KOCH, KONRAD>	Descriptio universitatis et urbis Lipsiensis
COLUMBUS, CHRISTOPHORUS	<COLOMBO, CRISTOFORO>	Epistola de insulis nuper inventis <*trad. lat. di Leander de Cosco>
COMITIBUS, NICOLAUS DE	<CONTI, NICCOLÒ DE’>	India recognita
CONSTABULUS	<QUSTA IBN LUQA; COSTA BEN LUCA>	De locis habitabilibus
CRANCHIS [DE CRANCHIS] DOMNIUS  [DODINUS; DOMNUS; DOYMUS]	<HRANKOVIĆ [KRANČIĆ; KRANKOVIĆ], DUJAM>	Bracie insulae descriptio
CURIALTIS, PETRUS DE [PETRUS DE TUSSIGNANO; DE THAUXIGNANO]	<CURIALTI, PIETRO; PIETRO DA TOSSIGNANO>	Liber de balneis Burmi
CYRIACUS ANCONITANUS	<CIRIACO D’ANCONA; PIZZICOLLI, CIRIACO DE’>	Itinerarium
DECEMBRIUS, HUBERTUS	<DECEMBRIO, UBERTO>	Descriptio Pragensis urbis et nonnulla de moribus populi in ea existentibus
DERMATIUS HIBERNIENSIS		Itineraria seu exhortatoria proficiscentis Jerusalem
DIVERSIS DE QUARTIGIANIS, PHILIPPUS DE	<DIVERSI, FILIPPO>	Situs, aedificiorum, politiae et laudabilium consuetudinum inclytae civitatis Ragusii ad ipsius Senatum descriptio
DOMINICUS SILVESTRI DE FLORENTIA	<DOMENICO DI SILVESTRO>	De insulis et earum proprietatibus (Opus in additamentum ad Iohannis Boccacci tractatum De montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus et de diversis nominibus maris)
DONDIS AB HOROLOGIO, IOHANNES DE	<DONDI DELL’OROLOGIO, GIOVANNI>	Iter Romanum
DYNAMIUS	<DINAMIO AGIOGRAFO>	De Lerine insula
EMMERICHIUS, GEORGIUS 	<HEMMERICH, GEORG>	Descriptio peregrinationis ad Terram Sanctam
EUCHERIUS LUGDUNENSIS <*auctor incertus>	<EUCHERIO DI LIONE>	De situ Hierosolymae (De situ Hierosolymitanae urbis)
FABRI, FELIX	<FABRI [FABER; SCHMID], FELIX>	Descriptio Theutoniae, Sveviae et civitatis Ulmensis
FABRI, FELIX	<FABRI [FABER; SCHMID], FELIX>	Evagatorium in Terrae sanctae, Arabiae et Egypti peregrinationem
FEDANZOLA PERUSINUS [DE PERUSIO], IOHANNES 	<FEDANZOLA, GIOVANNI>	Descriptio Terre Sancte
FREDERICI, GUILLELMUS	<FREDERIKS, WILLEM>	De Frisiorum situ, origine, moribus, rebus gestis et viris illustribus
FRETELLUS DE NAZARETH, RORGUS	<FRETELLO DI NAZARETH, RORGO> 	Liber locorum sanctorum terrae Ierusalem
FRIDERICUS DE FULGINEO	<FREZZI DA FOLIGNO, FEDERICO >	Epistola ad Iacobum II Aragonie regem de modo procedendi ut facilius et commodius dictam insulam [Sardiniae] consequatur
FRULOVISIUS, TITUS LIVIUS	<FRULOVISI, TITO LIVIO>	Peregrinatio
FULCHERIUS CARNOTENSIS	<FULCHERIO DI CHARTRES>	Historia Iherololymitana Francorum Iherusalem peregrinantium
GABRIELIS DE PECHWARODINO	<GABRIEL DE PÉCSVÁRAD>	Compendium locorum Terrae Sanctae
GALATHEUS, ANTONIUS	<GALATEO, ANTONIO; DE FERRARIIS, ANTONIO>	De Hierosolymitana peregrinatione (Argonautica)
GALATHEUS, ANTONIUS	<GALATEO, ANTONIO; DE FERRARIIS, ANTONIO>	De situ elementorum
GALATHEUS, ANTONIUS	<GALATEO, ANTONIO; DE FERRARIIS, ANTONIO>	De situ Iapygiae
GALATHEUS, ANTONIUS	<GALATEO, ANTONIO; DE FERRARIIS, ANTONIO>	De situ terrarum
GALATHEUS, ANTONIUS	<GALATEO, ANTONIO; DE FERRARIIS, ANTONIO>	Descriptio urbis Callipolis (Callipolis descriptio)
GALLUS, ANTONIUS	<GALLO, ANTONIO>	Commentarius de Genuensium maritima classe in Barchinonenses expedita
GALLUS, ANTONIUS	<GALLO, ANTONIO>	Commentarii rerum Genuensium
GALLUS, ANTONIUS	<GALLO, ANTONIO>	De navigatione Columbi per inaccessum antea Oceanum comentariolum
GENTILIS FULGINEUS [FULGINAS; DE FULGINEO; DE GENTILIBUS]	<GENTILE DA FOLIGNO>	De balneis
GEOGRAPHUS BAVARUS	<GEOGRAFO BAVARESE>	Descriptio civitatum ad septentrionalem plagam Danubii
GERALDINUS, ALEXANDER	<GERALDINI, ALESSANDRO>	Itinerarium ad regiones sub aequinoctiali plaga constitutas
GILO PARISIENSIS	<GILLES DI PARIGI>	Historia gestorum viae nostri temporis Ierosolymitanae
GIRALDUS CAMBRENSIS	<GIRALDO CAMBRENSE; GIRALDO DI BARRI; GIRALDO DEL GALLES>	Descriptio Kambriae
GIRALDUS CAMBRENSIS	<GIRALDO CAMBRENSE; GIRALDO DI BARRI; GIRALDO DEL GALLES>	Itinerarium Kambriae
GIRALDUS CAMBRENSIS	<GIRALDO CAMBRENSE; GIRALDO DI BARRI; GIRALDO DEL GALLES>	Topographia Hiberniae
GRATOROLUS, GUILIELMUS	<GRATAROLI, GUGLIELMO>	De thermis Rhaeticis et Vallis Treschurii agri Bergomatis
GREGORIUS TERRACINENSIS	<GREGORIO DI TERRACINA>	Versus de transitu peregrinorum ad sepulcrum Domini et captione Hierosolymitanae urbis
GRIMOALDI, ANGLICUS	<GRIMOARD, ANGLIC DE>	Descriptio civitatis Bononie
GRIMOALDI, ANGLICUS	<GRIMOARD, ANGLIC DE>	Descriptio Romandiole
GRINEUS, GILBERTUS	<GRINEO, GILBERTO>	Topographia divi Hieronymi Sacelli
GUIBERTUS TORNACENSIS [DE TORNACO]	<GUIBERT DE TOURNAI; GUIBERT VAN DOORNIK>	De locis mundis
GUIBERTUS TORNACENSIS [DE TORNACO]	<GUIBERT DE TOURNAI; GUIBERT VAN DOORNIK>	Hodoeporicon primae profectionis Ludovici Galliae regis in Syriam
GUIDONIS, BERNARDUS	<GUI, BERNARDO; GUIDONI, BERNARDO>	Descriptio Galliarum
GUILIELMUS DE BOLDENSELE	<GUILLAUME DE BOLDENSELE>	Liber de quibusdam ultramarinis partibus et praecipue de Terra Sancta (Hodoeporicon ad Terram sanctam)
GUILLELMUS DE RUBRUC	<GUGLIELMO DI RUBRUCK; WILLEM VAN RUYSBROECK; GUILLAUME DE RUBROUCK>	Itinerarium
GUILLELMUS FILIUS STEPHANI	<WILLIAM FITZSTEPHEN>	Descriptio Londoniae
GUILLELMUS GAUDENSIS [DE GOUDA]	<WILLEM VAN GOUDA>	Peregrinationes totius Terrae Sanctae
GUILLELMUS GRANDIMONTENSIS		Itinerarium reliquiarum sanctarum septem virginum sociarum Sanctae Ursulae e diocesi Coloniensi in ecclesiam Grandimontis
HAYTONUS DE CORYCUS [ANTONIUS CURCHINUS]	<HETʾUM DI CORYCUS; HETOUM DI CORYCUS; AYTON DI CORYCUS>	Flos historiarum terrae Orientis (Liber historiarum partium Orientis)
HENRICUS DE ANTWERPE	<*auctor incertus>	Tractatus de urbe Brandenburg (Tractatus de captione urbis Brandenburgensis)
HENRICUS DE GLACZ		Relatio de mirabilibus orientalium Tatarorum
HENRICUS DE GUNDELFINGEN	<HEINRICH VON GUNDELFINGEN>	Elogium, seu Descriptio, Confoederationis Helveticae
HENRICUS DE GUNDELFINGEN	<HEINRICH VON GUNDELFINGEN>	Topographia urbis Bernensis
HIERONYMUS CORDUBENSIS		Descriptio Cordubae
HILDEBERTUS CENOMANENSIS	<ILDBERTO DI LAVARDIN>	Insula Meldis ave
HUGO DE SANCTO VICTORE	<UGO DI SAN VITTORE>	Descriptio mappe mundi
HUGOLINUS DE MONTE CATINO	<CACCINI, UGOLINO>	De balneorum Italiae proprietatibus ac virtutibus
HUMBERTUS DE DIVIONE [DIVIONENSIS]	<HUMBERT DE DIJON>	Liber de locis et conditionibus Terrae Sanctae et sepulcro
HYACINTHUS PRESBYTER		Itinerarium (Descriptio Terrae Sanctae)
HYVANUS, ANTONIUS SARZANENSIS	<IVANI DA SARZANA, ANTONIO >	De situ urbis Romae
IACOBUS DE VITRIACO	<JACQUES DE VITRY>	Historia Hierosolymitana
IACOBUS DE VORAGINE	<IACOPO DA VARAZZE>	Quadragesimale viatoris
IACOBUS VERONENSIS	<JACOPO DA VERONA>	Liber peregrinationis (Collectio peregrinationum in terras orientales)
IOHANNES DE CERMENATE	<GIOVANNI DA CERMENATE>	Historia de situ Ambrosianae urbis
IOHANNES DE GALONIFONTIBUS	<JEAN DE GAILLEFONTAINE>	Libellus de notitia orbis
IOHANNES DE MANDAVILLA [MAGDOVILLANUS; MAGNOVILLANUS; DE SANCTO ALBANO]	<JEAN DE MANDEVILLE>	Itinerarius a terra Anglie in partes Iherosolomitanas et in ulteriores marinas
IOHANNES DE MEERHOUT		Tractatulus de laude terrae Brabantiae (De laude Brabantiae)
